,North Korea,Somalia,Afghanistan,Sudan,South Sudan,Iraq,Turkmenistan,Libya,Uzbekistan,Haiti,Venezuela,Yemen,Angola,Myanmar,Guinea-Bissau,Burundi,Eritrea,Syria,Chad,Zimbabwe,Cambodia,Democratic Republic of Congo,Tajikistan,Congo,Laos,Guinea,Central African Republic,Papua New Guinea,Paraguay,Bangladesh,Kyrgyzstan,Kenya,Ukraine,Cameroon,Nigeria,Uganda,Iran,Comoros,Kazakhstan,Nicaragua,Russia,Azerbaijan,Lebanon,Guyana,Honduras,Nepal,Pakistan,Madagascar,Gambia
Burundi,12.25,12.25,10.5,8.5,5.583333333,3.75,3,2.75,2.5,1.75,1.5,0.75,0.5,0.5,0.25,,,,0.25,0.5,0.75,1.5,3,3.25,4,4.25,4.5,4.75,4.75,5.5,5.5,5.75,5.75,6,6,6.25,6.5,6.75,7.5,7.75,7.75,8,8,8.25,8.25,8.25,8.25,8.75,9.5
Eritrea,12.25,12.25,10.5,8.5,5.583333333,3.75,3,2.75,2.5,1.75,1.5,0.75,0.5,0.5,0.25,,,,0.25,0.5,0.75,1.5,3,3.25,4,4.25,4.5,4.75,4.75,5.5,5.5,5.75,5.75,6,6,6.25,6.5,6.75,7.5,7.75,7.75,8,8,8.25,8.25,8.25,8.25,8.75,9.5
Syria,12.25,12.25,10.5,8.5,5.583333333,3.75,3,2.75,2.5,1.75,1.5,0.75,0.5,0.5,0.25,,,,0.25,0.5,0.75,1.5,3,3.25,4,4.25,4.5,4.75,4.75,5.5,5.5,5.75,5.75,6,6,6.25,6.5,6.75,7.5,7.75,7.75,8,8,8.25,8.25,8.25,8.25,8.75,9.5
Chad,12.5,12.5,10.75,8.75,5.833333333,4,3.25,3,2.75,2,1.75,1,0.75,0.75,0.5,0.25,0.25,0.25,,0.25,0.5,1.25,2.75,3,3.75,4,4.25,4.5,4.5,5.25,5.25,5.5,5.5,5.75,5.75,6,6.25,6.5,7.25,7.5,7.5,7.75,7.75,8,8,8,8,8.5,9.25
Zimbabwe,12.75,12.75,11,9,6.083333333,4.25,3.5,3.25,3,2.25,2,1.25,1,1,0.75,0.5,0.5,0.5,0.25,,0.25,1,2.5,2.75,3.5,3.75,4,4.25,4.25,5,5,5.25,5.25,5.5,5.5,5.75,6,6.25,7,7.25,7.25,7.5,7.5,7.75,7.75,7.75,7.75,8.25,9
Cambodia,13,13,11.25,9.25,6.333333333,4.5,3.75,3.5,3.25,2.5,2.25,1.5,1.25,1.25,1,0.75,0.75,0.75,0.5,0.25,,0.75,2.25,2.5,3.25,3.5,3.75,4,4,4.75,4.75,5,5,5.25,5.25,5.5,5.75,6,6.75,7,7,7.25,7.25,7.5,7.5,7.5,7.5,8,8.75
Democratic Republic of Congo,13.75,13.75,12,10,7.083333333,5.25,4.5,4.25,4,3.25,3,2.25,2,2,1.75,1.5,1.5,1.5,1.25,1,0.75,,1.5,1.75,2.5,2.75,3,3.25,3.25,4,4,4.25,4.25,4.5,4.5,4.75,5,5.25,6,6.25,6.25,6.5,6.5,6.75,6.75,6.75,6.75,7.25,8
Tajikistan,15.25,15.25,13.5,11.5,8.583333333,6.75,6,5.75,5.5,4.75,4.5,3.75,3.5,3.5,3.25,3,3,3,2.75,2.5,2.25,1.5,,0.25,1,1.25,1.5,1.75,1.75,2.5,2.5,2.75,2.75,3,3,3.25,3.5,3.75,4.5,4.75,4.75,5,5,5.25,5.25,5.25,5.25,5.75,6.5
Congo,15.5,15.5,13.75,11.75,8.833333333,7,6.25,6,5.75,5,4.75,4,3.75,3.75,3.5,3.25,3.25,3.25,3,2.75,2.5,1.75,0.25,,0.75,1,1.25,1.5,1.5,2.25,2.25,2.5,2.5,2.75,2.75,3,3.25,3.5,4.25,4.5,4.5,4.75,4.75,5,5,5,5,5.5,6.25
Laos,16.25,16.25,14.5,12.5,9.583333333,7.75,7,6.75,6.5,5.75,5.5,4.75,4.5,4.5,4.25,4,4,4,3.75,3.5,3.25,2.5,1,0.75,,0.25,0.5,0.75,0.75,1.5,1.5,1.75,1.75,2,2,2.25,2.5,2.75,3.5,3.75,3.75,4,4,4.25,4.25,4.25,4.25,4.75,5.5
Guinea,16.5,16.5,14.75,12.75,9.833333333,8,7.25,7,6.75,6,5.75,5,4.75,4.75,4.5,4.25,4.25,4.25,4,3.75,3.5,2.75,1.25,1,0.25,,0.25,0.5,0.5,1.25,1.25,1.5,1.5,1.75,1.75,2,2.25,2.5,3.25,3.5,3.5,3.75,3.75,4,4,4,4,4.5,5.25
Central African Republic,16.75,16.75,15,13,10.08333333,8.25,7.5,7.25,7,6.25,6,5.25,5,5,4.75,4.5,4.5,4.5,4.25,4,3.75,3,1.5,1.25,0.5,0.25,,0.25,0.25,1,1,1.25,1.25,1.5,1.5,1.75,2,2.25,3,3.25,3.25,3.5,3.5,3.75,3.75,3.75,3.75,4.25,5
Papua New Guinea,17,17,15.25,13.25,10.33333333,8.5,7.75,7.5,7.25,6.5,6.25,5.5,5.25,5.25,5,4.75,4.75,4.75,4.5,4.25,4,3.25,1.75,1.5,0.75,0.5,0.25,,,0.75,0.75,1,1,1.25,1.25,1.5,1.75,2,2.75,3,3,3.25,3.25,3.5,3.5,3.5,3.5,4,4.75
Paraguay,17,17,15.25,13.25,10.33333333,8.5,7.75,7.5,7.25,6.5,6.25,5.5,5.25,5.25,5,4.75,4.75,4.75,4.5,4.25,4,3.25,1.75,1.5,0.75,0.5,0.25,,,0.75,0.75,1,1,1.25,1.25,1.5,1.75,2,2.75,3,3,3.25,3.25,3.5,3.5,3.5,3.5,4,4.75
Bangladesh,17.75,17.75,16,14,11.08333333,9.25,8.5,8.25,8,7.25,7,6.25,6,6,5.75,5.5,5.5,5.5,5.25,5,4.75,4,2.5,2.25,1.5,1.25,1,0.75,0.75,,,0.25,0.25,0.5,0.5,0.75,1,1.25,2,2.25,2.25,2.5,2.5,2.75,2.75,2.75,2.75,3.25,4
Kyrgyzstan,17.75,17.75,16,14,11.08333333,9.25,8.5,8.25,8,7.25,7,6.25,6,6,5.75,5.5,5.5,5.5,5.25,5,4.75,4,2.5,2.25,1.5,1.25,1,0.75,0.75,,,0.25,0.25,0.5,0.5,0.75,1,1.25,2,2.25,2.25,2.5,2.5,2.75,2.75,2.75,2.75,3.25,4
Kenya,18,18,16.25,14.25,11.33333333,9.5,8.75,8.5,8.25,7.5,7.25,6.5,6.25,6.25,6,5.75,5.75,5.75,5.5,5.25,5,4.25,2.75,2.5,1.75,1.5,1.25,1,1,0.25,0.25,,,0.25,0.25,0.5,0.75,1,1.75,2,2,2.25,2.25,2.5,2.5,2.5,2.5,3,3.75
Ukraine,18,18,16.25,14.25,11.33333333,9.5,8.75,8.5,8.25,7.5,7.25,6.5,6.25,6.25,6,5.75,5.75,5.75,5.5,5.25,5,4.25,2.75,2.5,1.75,1.5,1.25,1,1,0.25,0.25,,,0.25,0.25,0.5,0.75,1,1.75,2,2,2.25,2.25,2.5,2.5,2.5,2.5,3,3.75
Cameroon,18.25,18.25,16.5,14.5,11.58333333,9.75,9,8.75,8.5,7.75,7.5,6.75,6.5,6.5,6.25,6,6,6,5.75,5.5,5.25,4.5,3,2.75,2,1.75,1.5,1.25,1.25,0.5,0.5,0.25,0.25,,,0.25,0.5,0.75,1.5,1.75,1.75,2,2,2.25,2.25,2.25,2.25,2.75,3.5
Nigeria,18.25,18.25,16.5,14.5,11.58333333,9.75,9,8.75,8.5,7.75,7.5,6.75,6.5,6.5,6.25,6,6,6,5.75,5.5,5.25,4.5,3,2.75,2,1.75,1.5,1.25,1.25,0.5,0.5,0.25,0.25,,,0.25,0.5,0.75,1.5,1.75,1.75,2,2,2.25,2.25,2.25,2.25,2.75,3.5
Uganda,18.5,18.5,16.75,14.75,11.83333333,10,9.25,9,8.75,8,7.75,7,6.75,6.75,6.5,6.25,6.25,6.25,6,5.75,5.5,4.75,3.25,3,2.25,2,1.75,1.5,1.5,0.75,0.75,0.5,0.5,0.25,0.25,,0.25,0.5,1.25,1.5,1.5,1.75,1.75,2,2,2,2,2.5,3.25
Iran,18.75,18.75,17,15,12.08333333,10.25,9.5,9.25,9,8.25,8,7.25,7,7,6.75,6.5,6.5,6.5,6.25,6,5.75,5,3.5,3.25,2.5,2.25,2,1.75,1.75,1,1,0.75,0.75,0.5,0.5,0.25,,0.25,1,1.25,1.25,1.5,1.5,1.75,1.75,1.75,1.75,2.25,3
Comoros,19,19,17.25,15.25,12.33333333,10.5,9.75,9.5,9.25,8.5,8.25,7.5,7.25,7.25,7,6.75,6.75,6.75,6.5,6.25,6,5.25,3.75,3.5,2.75,2.5,2.25,2,2,1.25,1.25,1,1,0.75,0.75,0.5,0.25,,0.75,1,1,1.25,1.25,1.5,1.5,1.5,1.5,2,2.75
Kazakhstan,19.75,19.75,18,16,13.08333333,11.25,10.5,10.25,10,9.25,9,8.25,8,8,7.75,7.5,7.5,7.5,7.25,7,6.75,6,4.5,4.25,3.5,3.25,3,2.75,2.75,2,2,1.75,1.75,1.5,1.5,1.25,1,0.75,,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,1.25,2
Nicaragua,20,20,18.25,16.25,13.33333333,11.5,10.75,10.5,10.25,9.5,9.25,8.5,8.25,8.25,8,7.75,7.75,7.75,7.5,7.25,7,6.25,4.75,4.5,3.75,3.5,3.25,3,3,2.25,2.25,2,2,1.75,1.75,1.5,1.25,1,0.25,,,0.25,0.25,0.5,0.5,0.5,0.5,1,1.75
Russia,20,20,18.25,16.25,13.33333333,11.5,10.75,10.5,10.25,9.5,9.25,8.5,8.25,8.25,8,7.75,7.75,7.75,7.5,7.25,7,6.25,4.75,4.5,3.75,3.5,3.25,3,3,2.25,2.25,2,2,1.75,1.75,1.5,1.25,1,0.25,,,0.25,0.25,0.5,0.5,0.5,0.5,1,1.75
Azerbaijan,20.25,20.25,18.5,16.5,13.58333333,11.75,11,10.75,10.5,9.75,9.5,8.75,8.5,8.5,8.25,8,8,8,7.75,7.5,7.25,6.5,5,4.75,4,3.75,3.5,3.25,3.25,2.5,2.5,2.25,2.25,2,2,1.75,1.5,1.25,0.5,0.25,0.25,,,0.25,0.25,0.25,0.25,0.75,1.5
Lebanon,20.25,20.25,18.5,16.5,13.58333333,11.75,11,10.75,10.5,9.75,9.5,8.75,8.5,8.5,8.25,8,8,8,7.75,7.5,7.25,6.5,5,4.75,4,3.75,3.5,3.25,3.25,2.5,2.5,2.25,2.25,2,2,1.75,1.5,1.25,0.5,0.25,0.25,,,0.25,0.25,0.25,0.25,0.75,1.5
Guyana,20.5,20.5,18.75,16.75,13.83333333,12,11.25,11,10.75,10,9.75,9,8.75,8.75,8.5,8.25,8.25,8.25,8,7.75,7.5,6.75,5.25,5,4.25,4,3.75,3.5,3.5,2.75,2.75,2.5,2.5,2.25,2.25,2,1.75,1.5,0.75,0.5,0.5,0.25,0.25,,,,,0.5,1.25
Honduras,20.5,20.5,18.75,16.75,13.83333333,12,11.25,11,10.75,10,9.75,9,8.75,8.75,8.5,8.25,8.25,8.25,8,7.75,7.5,6.75,5.25,5,4.25,4,3.75,3.5,3.5,2.75,2.75,2.5,2.5,2.25,2.25,2,1.75,1.5,0.75,0.5,0.5,0.25,0.25,,,,,0.5,1.25
Nepal,20.5,20.5,18.75,16.75,13.83333333,12,11.25,11,10.75,10,9.75,9,8.75,8.75,8.5,8.25,8.25,8.25,8,7.75,7.5,6.75,5.25,5,4.25,4,3.75,3.5,3.5,2.75,2.75,2.5,2.5,2.25,2.25,2,1.75,1.5,0.75,0.5,0.5,0.25,0.25,,,,,0.5,1.25
Pakistan,20.5,20.5,18.75,16.75,13.83333333,12,11.25,11,10.75,10,9.75,9,8.75,8.75,8.5,8.25,8.25,8.25,8,7.75,7.5,6.75,5.25,5,4.25,4,3.75,3.5,3.5,2.75,2.75,2.5,2.5,2.25,2.25,2,1.75,1.5,0.75,0.5,0.5,0.25,0.25,,,,,0.5,1.25
Madagascar,21,21,19.25,17.25,14.33333333,12.5,11.75,11.5,11.25,10.5,10.25,9.5,9.25,9.25,9,8.75,8.75,8.75,8.5,8.25,8,7.25,5.75,5.5,4.75,4.5,4.25,4,4,3.25,3.25,3,3,2.75,2.75,2.5,2.25,2,1.25,1,1,0.75,0.75,0.5,0.5,0.5,0.5,,0.75
Gambia,21.75,21.75,20,18,15.08333333,13.25,12.5,12.25,12,11.25,11,10.25,10,10,9.75,9.5,9.5,9.5,9.25,9,8.75,8,6.5,6.25,5.5,5.25,5,4.75,4.75,4,4,3.75,3.75,3.5,3.5,3.25,3,2.75,2,1.75,1.75,1.5,1.5,1.25,1.25,1.25,1.25,0.75,
